regime,seed,method,n_rows_common,auroc,auprc,prec_at_k,shd,n_true_edges,n_rows_scored
interaction_xor,2026,P-alone,6,0.7808641975308643,0.6654270883437551,0.6666666666666666,8,12,6
interaction_xor,2026,SNI-D-fairhost,6,0.8163580246913581,0.7065852302459446,0.5,12,12,6
interaction_xor,2026,Permutation-on-SNI-fair-oracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2026,Permutation-on-SNI-fair-noOracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2027,SNI-D,6,0.7746913580246914,0.6736271860746263,0.5833333333333334,10,12,6
interaction_xor,2027,MissForest-importance,6,0.9845679012345678,0.9489019752177648,0.8333333333333334,4,12,6
interaction_xor,2027,SHAP-on-MissForest,6,0.9969135802469137,0.9880952380952381,0.9166666666666666,2,12,6
interaction_xor,2027,Permutation-on-MissForest,6,0.9922839506172839,0.9722222222222222,0.9166666666666666,2,12,6
interaction_xor,2027,P-alone,6,0.8564814814814814,0.6701460712490125,0.5,12,12,6
interaction_xor,2027,SNI-D-fairhost,6,0.7746913580246914,0.6736271860746263,0.5833333333333334,10,12,6
interaction_xor,2027,Permutation-on-SNI-fair-oracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2027,Permutation-on-SNI-fair-noOracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2028,SNI-D,6,0.8549382716049383,0.6843419312169313,0.5,12,12,6
interaction_xor,2028,MissForest-importance,6,0.9845679012345678,0.9464447102604998,0.9166666666666666,2,12,6
interaction_xor,2028,SHAP-on-MissForest,6,0.9969135802469137,0.9880952380952381,0.9166666666666666,2,12,6
interaction_xor,2028,Permutation-on-MissForest,6,0.9938271604938271,0.9791666666666666,0.9166666666666666,2,12,6
interaction_xor,2028,P-alone,6,0.8287037037037036,0.648102079050355,0.5833333333333334,10,12,6
interaction_xor,2028,SNI-D-fairhost,6,0.8549382716049383,0.6843419312169313,0.5,12,12,6
interaction_xor,2028,Permutation-on-SNI-fair-oracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2028,Permutation-on-SNI-fair-noOracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2029,SNI-D,6,0.8518518518518517,0.7304226475279108,0.6666666666666666,8,12,6
interaction_xor,2029,MissForest-importance,6,0.9845679012345678,0.9455128205128206,0.8333333333333334,4,12,6
interaction_xor,2029,SHAP-on-MissForest,6,0.9969135802469137,0.9880952380952381,0.9166666666666666,2,12,6
interaction_xor,2029,Permutation-on-MissForest,6,0.9922839506172839,0.9722222222222223,0.9166666666666666,2,12,6
interaction_xor,2029,P-alone,6,0.8796296296296297,0.742849426948305,0.75,6,12,6
interaction_xor,2029,SNI-D-fairhost,6,0.8518518518518517,0.7304226475279108,0.6666666666666666,8,12,6
interaction_xor,2029,Permutation-on-SNI-fair-oracle,6,1.0,1.0,1.0,0,12,6
interaction_xor,2029,Permutation-on-SNI-fair-noOracle,6,1.0,1.0,1.0,0,12,6
